"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "MS SQL", "TypeScript JSX", "CSS", "Markdown", "JSON", "XML", "HTML", "Python", "comment", "blank", "total"
"c:\Users\Ashwin\Documents\Printec\.agents\skills\karpathy-guidelines\SKILL.md", "Markdown", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 21, 68
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15, 30
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\SKILL.md", "Markdown", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 13, 65
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\_contributing.md", "Markdown", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 53, 171
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\_sections.md", "Markdown", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 12, 40
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\_template.md", "Markdown", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 11, 35
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\advanced-full-text-search.md", "Markdown", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 16, 56
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\advanced-jsonb-indexing.md", "Markdown", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 14, 50
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\conn-idle-timeout.md", "Markdown", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 13, 47
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\conn-limits.md", "Markdown", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 13, 45
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\conn-pooling.md", "Markdown", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 13, 42
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\conn-prepared-statements.md", "Markdown", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 13, 47
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\data-batch-inserts.md", "Markdown", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 13, 55
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\data-n-plus-one.md", "Markdown", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 15, 54
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\data-pagination.md", "Markdown", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 14, 51
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\data-upsert.md", "Markdown", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 12, 51
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\lock-advisory.md", "Markdown", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 14, 57
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\lock-deadlock-prevention.md", "Markdown", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 16, 69
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\lock-short-transactions.md", "Markdown", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 14, 51
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\lock-skip-locked.md", "Markdown", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 12, 55
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\monitor-explain-analyze.md", "Markdown", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 11, 46
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\monitor-pg-stat-statements.md", "Markdown", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 13, 56
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\monitor-vacuum-analyze.md", "Markdown", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 13, 56
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\query-composite-indexes.md", "Markdown", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 13, 45
"c:\Users\Ashwin\Documents\Printec\.agents\skills\supabase-postgres-best-practices\references\query-covering-indexes.md", "Markdown", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 13, 41
